,IXIC,RUA,VIX,DJI,GSPC,RUT,BTCUSDT,LTCUSDT,XRPUSDT,ETHUSDT
2018-03-08,7427.950195,1621.23999,16.540001,24895.210938,2738.969971,1571.969971,9271.64,175.24,,695.46
2018-03-09,7560.810059,1648.459961,14.64,25335.740234,2786.570068,1597.140015,9227.0,185.79,,723.71
2018-03-10,7569.979980666668,1648.109985333333,15.02,25283.363281,2785.386718666666,1598.4466963333332,8770.22,176.74,,680.58
2018-03-11,7579.149902333333,1647.760009666667,15.4,25230.986328,2784.2033693333333,1599.753377666667,9533.57,188.16,,720.85
2018-03-12,7588.319823999998,1647.410034,15.78,25178.609375,2783.02002,1601.060059,9131.34,177.8,,697.11
2018-03-13,7511.009765999999,1637.189941,16.35,25007.029297,2765.310059,1592.050049,9150.0,175.01,,689.94
2018-03-14,7496.810059,1628.189941,17.23,24758.119141,2749.47998,1584.310059,8170.0,160.15,,610.1
2018-03-15,7481.740234000001,1625.900024,16.59,24873.660156,2747.330078,1576.619995,8240.98,164.0,,608.83
2018-03-16,7481.990234000001,1629.680054,15.8,24946.509766,2752.01001,1586.050049,8260.0,164.1,,599.05
2018-03-17,7436.073567333334,1622.350016333333,16.873333333333335,24834.64322933333,2738.9799806666665,1580.886719,7824.8,151.75,,546.95
2018-03-18,7390.156900666668,1615.019978666667,17.946666666666665,24722.776692666666,2725.949951333333,1575.723389,8189.99,153.5,,537.0
2018-03-19,7344.240234000001,1607.689941,19.02,24610.910156,2712.919922,1570.560059,8600.0,161.2,,556.88
2018-03-20,7364.299805,1609.97998,18.200001,24727.269531,2716.939941,1570.410034,8909.98,168.24,,557.0
2018-03-21,7345.290039,1608.569946,17.860001,24682.310547,2711.929932,1579.300049,8885.0,168.54,,559.17
2018-03-22,7166.680176000002,1568.719971,23.34,23957.890625,2643.689941,1543.869995,8722.9,163.65,,539.92
2018-03-23,6992.669922,1536.27002,24.870001,23533.199219,2588.26001,1510.079956,8898.03,168.66,,543.03
2018-03-24,7068.6266276666665,1549.6800133333334,23.590001,23756.33268233333,2611.690023,1521.293294333333,8546.86,158.92,,520.22
2018-03-25,7144.583333333334,1563.0900066666666,22.310001000000003,23979.466145666665,2635.120036,1532.506632666667,8470.15,160.01,,523.74
2018-03-26,7220.540039,1576.5,21.030001,24202.599609,2658.550049,1543.719971,8134.23,147.83,,485.0
2018-03-27,7008.810059,1549.02002,22.5,23857.710938,2612.6201170000004,1513.569946,7795.51,135.0,,448.5
2018-03-28,6949.22998,1544.780029,22.870001,23848.419922,2605.0,1513.030029,7949.3,131.22,,446.67
2018-03-29,7063.450195,1565.560059,19.969999,24103.109375,2640.8701170000004,1529.430054,7090.14,114.7,,384.0
2018-03-30,7015.1176755000015,1556.7400515000002,20.8824995,23988.3793945,2626.1225585,1520.20504775,6840.23,118.35,,392.43
2018-03-31,6966.785156,1547.920044,21.795,23873.649414,2611.375,1510.9800415,6923.91,116.05,,393.92
2018-04-01,6918.452636499999,1539.1000365,22.7075005,23758.9194335,2596.6274415,1501.75503525,6813.01,114.74,,378.58
2018-04-02,6870.120117,1530.280029,23.620001,23644.189453,2581.879883,1492.530029,7056.0,119.05,,385.05
2018-04-03,6941.279785,1549.329956,21.1,24033.359375,2614.449951,1512.150024,7405.21,134.04,,415.01
2018-04-04,7042.109863,1567.089966,20.059999,24264.300781,2644.689941,1531.660034,6796.1,118.07,,378.16
2018-04-05,7076.549805,1578.02002,18.940001,24505.220703,2662.840088,1542.930054,6770.76,118.26,,381.22
2018-04-06,6915.109863,1544.280029,21.49,23932.759766,2604.469971,1513.300049,6601.39,112.79,,368.89
2018-04-07,6926.853190000001,1545.690022666667,21.58333333333333,23948.20638033333,2607.366618,1513.6866863333332,6895.8,115.8,,384.51
2018-04-08,6938.596517,1547.100016333333,21.676666666666666,23963.65299466667,2610.263265,1514.073323666667,7018.0,117.55,,400.4
2018-04-09,6950.339844,1548.51001,21.77,23979.099609,2613.159912,1514.459961,6782.72,114.79,,399.44
2018-04-10,7094.299805,1574.670044,20.469999,24408.0,2656.8701170000004,1543.430054,6843.9,114.25,,416.07
2018-04-11,7069.029785,1567.5,20.24,24189.449219,2642.189941,1546.800049,6953.79,118.4,,429.52
2018-04-12,7140.25,1579.680054,18.49,24483.050781,2663.98999,1557.329956,7923.0,129.67,,495.67
2018-04-13,7106.649901999999,1574.589966,17.41,24360.140625,2656.300049,1549.51001,7877.41,125.1,,495.11
2018-04-14,7123.193196333333,1578.9199626666666,17.126666333333333,24431.106771000002,2663.480062,1554.016683,7999.01,126.4,,502.68
2018-04-15,7139.736490666666,1583.2499593333334,16.843332666666665,24502.072916999998,2670.660075,1558.5233560000001,8355.0,132.45,,533.88
2018-04-16,7156.279785,1587.579956,16.559998999999998,24573.039063,2677.840088,1563.030029,8064.92,128.96,,511.46
2018-04-17,7281.100098000001,1604.51001,15.25,24786.630859,2706.389893,1579.800049,7885.02,132.09,,502.56
2018-04-18,7295.240234000001,1606.459961,15.6,24748.070313,2708.639893,1583.560059,8173.0,140.36,,526.09
2018-04-19,7238.060059,1597.25,15.96,24664.890625,2693.129883,1573.819946,8278.0,146.71,,568.14
